T,player,seed,map_path,run_path,score,sec,returncode
7056,8,10000,tournament/maps/species=4_animals=4x2_helpers=2_ark=500x500.json,tournament/runs/T=7056#player=8#seed=10000#map_path=species=4_animals=4x2_helpers=2_ark=500x500.log,0,7.454,0
7056,9,10000,tournament/maps/species=4_animals=4x2_helpers=2_ark=500x500.json,tournament/runs/T=7056#player=9#seed=10000#map_path=species=4_animals=4x2_helpers=2_ark=500x500.log,1,6.857,0
7056,10,10000,tournament/maps/species=4_animals=4x2_helpers=2_ark=500x500.json,tournament/runs/T=7056#player=10#seed=10000#map_path=species=4_animals=4x2_helpers=2_ark=500x500.log,0,7.248,0
2016,1,10001,tournament/maps/species=4_animals=4x2_helpers=2_ark=100x400.json,tournament/runs/T=2016#player=1#seed=10001#map_path=species=4_animals=4x2_helpers=2_ark=100x400.log,-1,-1,1
2016,2,10001,tournament/maps/species=4_animals=4x2_helpers=2_ark=100x400.json,tournament/runs/T=2016#player=2#seed=10001#map_path=species=4_animals=4x2_helpers=2_ark=100x400.log,0,4.374,0
2016,3,10001,tournament/maps/species=4_animals=4x2_helpers=2_ark=100x400.json,tournament/runs/T=2016#player=3#seed=10001#map_path=species=4_animals=4x2_helpers=2_ark=100x400.log,0,4.356,0
2016,4,10001,tournament/maps/species=4_animals=4x2_helpers=2_ark=100x400.json,tournament/runs/T=2016#player=4#seed=10001#map_path=species=4_animals=4x2_helpers=2_ark=100x400.log,0,4.394,0
2016,5,10001,tournament/maps/species=4_animals=4x2_helpers=2_ark=100x400.json,tournament/runs/T=2016#player=5#seed=10001#map_path=species=4_animals=4x2_helpers=2_ark=100x400.log,0,4.485,0
2016,6,10001,tournament/maps/species=4_animals=4x2_helpers=2_ark=100x400.json,tournament/runs/T=2016#player=6#seed=10001#map_path=species=4_animals=4x2_helpers=2_ark=100x400.log,0,4.343,0
2016,7,10001,tournament/maps/species=4_animals=4x2_helpers=2_ark=100x400.json,tournament/runs/T=2016#player=7#seed=10001#map_path=species=4_animals=4x2_helpers=2_ark=100x400.log,0,4.592,0
2016,8,10001,tournament/maps/species=4_animals=4x2_helpers=2_ark=100x400.json,tournament/runs/T=2016#player=8#seed=10001#map_path=species=4_animals=4x2_helpers=2_ark=100x400.log,0,4.486,0
2016,9,10001,tournament/maps/species=4_animals=4x2_helpers=2_ark=100x400.json,tournament/runs/T=2016#player=9#seed=10001#map_path=species=4_animals=4x2_helpers=2_ark=100x400.log,0,4.378,0
2016,10,10001,tournament/maps/species=4_animals=4x2_helpers=2_ark=100x400.json,tournament/runs/T=2016#player=10#seed=10001#map_path=species=4_animals=4x2_helpers=2_ark=100x400.log,1,4.39,0
4032,1,10001,tournament/maps/species=4_animals=4x2_helpers=2_ark=100x400.json,tournament/runs/T=4032#player=1#seed=10001#map_path=species=4_animals=4x2_helpers=2_ark=100x400.log,-1,-1,1
4032,2,10001,tournament/maps/species=4_animals=4x2_helpers=2_ark=100x400.json,tournament/runs/T=4032#player=2#seed=10001#map_path=species=4_animals=4x2_helpers=2_ark=100x400.log,0,5.441,0
4032,3,10001,tournament/maps/species=4_animals=4x2_helpers=2_ark=100x400.json,tournament/runs/T=4032#player=3#seed=10001#map_path=species=4_animals=4x2_helpers=2_ark=100x400.log,0,5.333,0
4032,4,10001,tournament/maps/species=4_animals=4x2_helpers=2_ark=100x400.json,tournament/runs/T=4032#player=4#seed=10001#map_path=species=4_animals=4x2_helpers=2_ark=100x400.log,0,5.366,0
4032,5,10001,tournament/maps/species=4_animals=4x2_helpers=2_ark=100x400.json,tournament/runs/T=4032#player=5#seed=10001#map_path=species=4_animals=4x2_helpers=2_ark=100x400.log,0,5.609,0
4032,6,10001,tournament/maps/species=4_animals=4x2_helpers=2_ark=100x400.json,tournament/runs/T=4032#player=6#seed=10001#map_path=species=4_animals=4x2_helpers=2_ark=100x400.log,0,5.335,0
4032,7,10001,tournament/maps/species=4_animals=4x2_helpers=2_ark=100x400.json,tournament/runs/T=4032#player=7#seed=10001#map_path=species=4_animals=4x2_helpers=2_ark=100x400.log,0,5.785,0
4032,8,10001,tournament/maps/species=4_animals=4x2_helpers=2_ark=100x400.json,tournament/runs/T=4032#player=8#seed=10001#map_path=species=4_animals=4x2_helpers=2_ark=100x400.log,0,5.757,0
4032,9,10001,tournament/maps/species=4_animals=4x2_helpers=2_ark=100x400.json,tournament/runs/T=4032#player=9#seed=10001#map_path=species=4_animals=4x2_helpers=2_ark=100x400.log,0,5.401,0
4032,10,10001,tournament/maps/species=4_animals=4x2_helpers=2_ark=100x400.json,tournament/runs/T=4032#player=10#seed=10001#map_path=species=4_animals=4x2_helpers=2_ark=100x400.log,1,5.638,0
7056,1,10001,tournament/maps/species=4_animals=4x2_helpers=2_ark=100x400.json,tournament/runs/T=7056#player=1#seed=10001#map_path=species=4_animals=4x2_helpers=2_ark=100x400.log,-1,-1,1
7056,2,10001,tournament/maps/species=4_animals=4x2_helpers=2_ark=100x400.json,tournament/runs/T=7056#player=2#seed=10001#map_path=species=4_animals=4x2_helpers=2_ark=100x400.log,1,6.783,0
7056,3,10001,tournament/maps/species=4_animals=4x2_helpers=2_ark=100x400.json,tournament/runs/T=7056#player=3#seed=10001#map_path=species=4_animals=4x2_helpers=2_ark=100x400.log,0,6.748,0
